State,City,Zipcode,Bedroom,Bathroom,Area,LotArea,MarketEstimate,RentEstimate,Latitude,Longitude,ListedPrice,Bedroom_Flag
AL,Saraland,36571,4.0,2.0,1614.0,0.3805,240600.0,1599.0,30.819534,-88.09596,239900.0,0
AL,Robertsdale,36567,3.0,2.0,1800.0,3.2,264195.8426043058,1894.677988286811,30.590004,-87.580376,259900.0,0
AL,Gulf Shores,36542,2.0,2.0,1250.0,0.5813278236914601,335545.8431426716,2021.237505613095,30.284956,-87.74792,342500.0,0
AL,Chelsea,35043,3.0,3.0,2224.0,0.26,336200.0,1932.0,33.357986,-86.6087,335000.0,0
AL,Huntsville,35811,3.0,2.0,1225.0,3.999641873278237,222700.0,1679.0,34.775517,-86.4407,250000.0,0
AL,Montgomery,36117,3.0,2.0,1564.0,0.2,150500.0,1385.0,32.372746,-86.165115,151000.0,0
AL,Boaz,35957,3.0,2.0,1717.0,0.38,238400.0,2125.0,34.210014,-86.13669,239000.0,0
AL,Albertville,35950,3.0,2.0,1674.0,0.3443526170798898,248000.0,1597.0,34.2754,-86.21792,249900.0,0
AL,Mobile,36619,3.0,3.0,2190.0,0.3443,294000.0,1900.0,30.595074,-88.20307,295000.0,0
AL,Madison,35756,4.0,3.0,3030.0,0.3399999999999999,522986.4889504246,2975.571928335827,34.755985,-86.86592,524900.0,0
AL,Huntsville,35802,2.0,3.0,2099.0,1.1376000000000002,218969.8426201477,2313.661158403599,34.691204,-86.565834,199000.0,0
AL,Mobile,36607,3.0,2.0,1194.0,0.1971,148300.0,1200.0,30.693125,-88.087814,150000.0,0
AL,Fort Mitchell,36856,4.0,2.0,2094.0,0.34,288418.7739572079,1991.9924426308921,32.27287,-84.980064,285000.0,0
AL,Myrtlewood,36763,3.0,1.0,800.0,0.53,143101.7833029865,1146.2257030949245,32.513927,-87.83505,145000.0,0
AL,Brewton,36426,3.0,3.0,2451.0,0.2583,85207.19928689796,2087.5927550121523,31.12658,-87.05359,50439.0,0
AL,Montgomery,36109,3.0,2.0,2196.0,0.61,124700.0,1250.0,32.39595,-86.269714,169000.0,0
AL,Semmes,36575,3.0,1.0,1100.0,1.0,158200.0,1099.0,30.774414,-88.257675,160000.0,0
AL,Irvington,36544,5.0,3.0,2285.0,1.1772,161270.087679303,2100.0,30.455751,-88.242485,139900.0,0
AL,Mulga,35118,3.0,2.0,1410.0,0.34,78300.0,1369.0,33.524075,-87.00953,79900.0,0
AL,Red Level,36474,3.0,2.0,1783.0,1.0,186463.43216096953,1741.388524866655,31.39427,-86.60098,175000.0,0
AL,Grand Bay,36541,3.0,2.0,2252.0,0.4501,166929.54749004915,1640.0,30.481138,-88.352,148000.0,0
AL,Mobile,36617,6.0,4.0,3036.0,0.141,154100.0,2500.0,30.702614,-88.08904,164000.0,0
AL,Birmingham,35211,3.0,3.0,2760.0,0.35,224279.16165374412,2326.226758747845,33.448425,-86.87966,199000.0,0
AL,Henagar,35978,4.0,2.0,1420.0,0.8,198388.43629868678,917.0,34.649124,-85.71751,194500.0,0
AL,Birmingham,35218,3.0,2.0,1044.0,0.18,81564.95419194431,986.0,33.506554,-86.89646,69000.0,0
AL,Mobile,36695,3.0,2.0,1823.0,0.2,246270.90106669586,1855.887912127951,30.6471,-88.2378,240000.0,0
AL,Montgomery,36116,3.0,3.0,3693.0,6.9,188300.0,1201.0,32.273514,-86.25934,200000.0,0
AL,Russellville,35654,6.0,4.0,4690.0,1.0,259454.79508782382,3043.3148039254033,34.50726,-87.7332,215000.0,0
AL,Scottsboro,35768,4.0,2.0,1558.0,0.49,159160.12910093664,1802.0074891133406,34.65146,-86.03795,149900.0,0
AL,Huntsville,35810,3.0,2.0,1532.0,0.2641873278236915,218300.0,1535.0,34.750492,-86.62149,219000.0,0
AL,Fairhope,36532,4.0,3.0,2410.0,0.27,407800.0,2550.0,30.504227,-87.874535,409800.0,0
AL,Phenix City,36867,3.0,2.0,1188.0,0.17,148400.0,1200.0,32.472347,-85.009224,150000.0,0
AL,Meridianville,35759,3.0,2.0,1679.0,0.15,284000.0,1749.0,34.87313,-86.58187,285000.0,0
AL,Decatur,35601,3.0,1.0,1308.0,0.27,212501.47749276517,1220.0740700859742,34.57727,-86.95213,214900.0,0
AL,Remlap,35133,2.0,2.0,1600.0,4.87,178600.0,1495.0,33.78361,-86.630005,180000.0,0
AL,Mobile,36618,3.0,2.0,1296.0,0.1016,170100.0,1566.0,30.717815,-88.147285,175000.0,0
AL,Fort Mitchell,36856,5.0,4.0,3051.0,0.35,307100.0,2100.0,32.27377,-84.99826,312000.0,0
AL,Mobile,36608,4.0,5.0,1598.0,0.426,143300.0,1500.0,30.70528,-88.17934,150000.0,0
AL,Huntsville,35803,3.0,2.0,1471.0,0.2799999999999999,274391.03847893793,1957.1318003839685,34.621323,-86.57433,275000.0,0
AL,Birmingham,35222,3.0,2.0,1175.0,0.25,325958.09527574736,2098.109195309494,33.51739,-86.76976,335000.0,0
AL,Haleyville,35565,3.0,2.0,1450.0,0.3856749311294766,173600.0,1050.0,34.23136,-87.618965,179900.0,0
AL,Opelika,36804,4.0,3.0,1825.0,0.25,290599.3995518071,2664.8662581058193,32.603745,-85.333275,284900.0,0
AL,Dothan,36301,3.0,1.0,1458.0,0.3537649219467401,141000.0,1385.0,31.201424,-85.413605,143000.0,0
AL,Tuscaloosa,35405,3.0,2.0,1444.0,0.3837709458218549,192300.0,1500.0,33.15471,-87.50979,159900.0,0
AL,Dothan,36305,3.0,2.0,1375.0,0.25,205400.0,1529.0,31.2081,-85.44741,199900.0,0
AL,Jasper,35504,3.0,2.0,2666.0,4.8,127339.20802763118,1800.0,33.981796,-87.188896,99700.0,0
AL,Montgomery,36117,3.0,4.0,2361.0,0.6799999999999999,180373.8806607633,2923.550761423944,32.35633,-86.179306,150000.0,0
AL,Opelika,36801,4.0,3.0,2307.0,1.86,452870.2557010404,2927.7789127459914,32.657303,-85.42706,456789.0,0
AL,Birmingham,35210,3.0,2.0,1227.0,0.002,289991.13262759376,2019.5277681538741,33.527466,-86.71101,295000.0,0
AL,Huntsville,35803,4.0,2.0,1999.0,0.29,304800.0,1800.0,34.63312,-86.536224,305000.0,0
AL,Foley,36535,3.0,2.0,1752.0,26.0,285800.0,1994.0,30.404478,-87.67821,289900.0,0
AL,Alabaster,35007,3.0,3.0,1880.0,0.27,283600.0,1681.0,33.22804,-86.83084,279900.0,0
AL,Grand Bay,36541,3.0,2.0,1900.0,20.0,356627.832024446,2066.754453129154,30.499058,-88.33377,359900.0,0
AL,Chelsea,35043,3.0,2.0,1425.0,1.82,280200.0,1425.0,33.354427,-86.59509,279000.0,0
AL,Madison,35756,4.0,3.0,2354.0,0.21,364700.0,2037.0,34.69121,-86.78906,365000.0,0
AL,Mobile,36618,4.0,2.0,2077.0,0.0477,151224.8746633783,1719.781420562107,30.721144,-88.2097,135000.0,0
AL,Mobile,36604,3.0,1.0,1490.0,0.1576,235000.0,1400.0,30.681978,-88.07807,235000.0,0
AL,Selma,36701,3.0,1.0,2263.0,0.154,76800.55451501059,826.5757702639735,32.40969,-87.03237,54900.0,0
AL,Fultondale,35068,3.0,3.0,2535.0,0.37,236433.43450556992,2379.3019576193865,33.622974,-86.81058,215000.0,0
AL,Odenville,35120,3.0,2.0,1273.0,0.2,223725.46493299716,1881.1167724721092,33.642292,-86.48792,221900.0,0
AL,Mobile,36606,3.0,1.0,1000.0,0.0767,85004.83995845537,995.0,30.66862,-88.09325,79000.0,0
AL,Huntsville,35802,4.0,3.0,2875.0,0.4599999999999999,382400.0,2262.0,34.660194,-86.5568,399900.0,0
AL,Alabaster,35007,3.0,2.0,1808.0,0.47,239400.0,1657.0,33.257935,-86.80834,240000.0,0
AL,Gordo,35466,3.0,2.0,1592.0,0.18,230044.581415643,1852.9697217845933,33.317497,-87.891014,225000.0,0
AL,Haleyville,35565,3.0,2.0,1688.0,0.42,162498.78830476236,1705.6058517693345,34.243496,-87.60556,149900.0,0
AL,Hazel Green,35750,3.0,2.0,1976.0,0.5599999999999999,125400.0,847.0,34.97667,-86.65006,135000.0,0
AL,Madison,35756,4.0,4.0,3263.0,0.3299999999999999,576507.4884901507,3686.943019785516,34.700115,-86.793274,575000.0,0
AL,Huntsville,35810,3.0,2.0,1798.0,0.1912304866850321,232296.7729667289,1831.1363164471084,34.76469,-86.64163,225000.0,0
AL,Mobile,36604,3.0,2.0,2455.0,0.1739,488700.0,2578.0,30.685225,-88.0755,489000.0,0
AL,Bay Minette,36507,3.0,2.0,1859.0,3.0,194500.0,1875.0,30.810877,-87.80625,209900.0,0
AL,Gadsden,35904,3.0,3.0,2542.0,1.43,347100.0,1800.0,34.057,-86.01735,349900.0,0
AL,Duncanville,35456,4.0,3.0,3556.0,2.0,182000.0,1814.0,33.118427,-87.47632,179900.0,0
AL,Opelika,36804,4.0,3.0,2499.0,0.42,378437.6085891119,2754.367603305553,32.601738,-85.4107,373000.0,0
AL,New Brockton,36351,2.0,1.0,1851.0,5.72,78871.81800645229,1800.0,31.474384,-85.850395,60000.0,0
AL,Birmingham,35205,2.0,2.0,778.0,0.0,139030.92102514755,1688.559005462996,33.498814,-86.82817,133000.0,0
AL,Huntsville,35816,3.0,2.0,1320.0,1.0,166800.0,1594.0,34.7451,-86.612724,179000.0,0
AL,Cherokee,35616,5.0,1.0,3459.0,3.7,118010.18091942315,928.9977057799803,34.736748,-87.89004,89900.0,0
AL,Birmingham,35208,3.0,2.0,1444.0,0.16,185497.31655002333,1782.7985111683324,33.490116,-86.890594,178000.0,0
AL,Mobile,36695,4.0,3.0,2954.0,0.4635,270974.1788152628,2481.270156513754,30.64961,-88.21921,249900.0,0
AL,Mobile,36605,5.0,4.0,1505.0,0.1836,127600.0,1099.0,30.6478,-88.08221,129900.0,0
AL,Foley,36535,4.0,2.0,2494.0,0.92,242464.34183961936,1848.943442691647,30.336601,-87.695,229900.0,0
AL,Mobile,36608,4.0,2.0,1034.0,0.1825,120700.0,1300.0,30.71276,-88.191345,122000.0,0
AL,Dothan,36303,3.0,2.0,1664.0,0.0,165000.0,1435.0,31.240427,-85.43404,175000.0,0
AL,Northport,35475,4.0,2.0,2349.0,0.29216475665748387,328500.0,1999.0,33.303703,-87.594124,329900.0,0
AL,York,36925,4.0,2.0,2295.0,0.86,158083.85777378266,1705.6272514295856,32.484257,-88.31267,139900.0,0
AL,Grand Bay,36541,3.0,2.0,1874.0,20.0,356343.5748383866,2069.5101256474777,30.441343,-88.31281,359900.0,0
AL,Dothan,36303,5.0,3.0,2472.0,0.4579889807162534,263800.0,1999.0,31.257858,-85.4552,269000.0,0
AL,Perdido Beach,36530,3.0,2.0,1860.0,0.4549999999999999,200092.6877075484,1758.8020234578767,30.347391,-87.501076,189000.0,0
AL,Helena,35080,3.0,2.0,2190.0,0.4,279600.0,1648.0,33.27857,-86.830025,274800.0,0
AL,Opelika,36804,4.0,3.0,2508.0,0.2,362095.0406482406,2720.532179711057,32.615627,-85.38071,355000.0,0
AL,Gulf Shores,36542,3.0,3.0,1265.0,0.1435,404700.0,2400.0,30.232487,-87.977135,422000.0,0
AL,Mobile,36695,3.0,3.0,1888.0,0.4006999999999999,250400.0,1800.0,30.635536,-88.270996,249900.0,0
AL,Chelsea,35043,3.0,2.0,1914.0,0.21,329013.93105076323,2009.737367055022,33.360428,-86.623604,329500.0,0
AL,Mobile,36619,4.0,2.0,1807.0,0.3432,197700.0,1650.0,30.582676,-88.18447,249900.0,0
